,date,state,co2emission,treated,after_treatment,time_weights,unit_weights,weights
7603,2021-10-22,Guangzhou 1,2.2194598393128664,0,0,5.155662773259181e-05,0.03379232735512805,1.7422e-06
7604,2021-10-23,Guangzhou 1,2.215024450695465,0,0,5.16553346639954e-05,0.03379232735512805,1.7456e-06
7605,2021-10-24,Guangzhou 1,2.2145961264802243,0,0,5.1664734682358284e-05,0.03379232735512805,1.7459e-06
7606,2021-10-25,Guangzhou 1,2.206729600535038,0,0,5.18405171121256e-05,0.03379232735512805,1.7518e-06
7607,2021-10-26,Guangzhou 1,2.2103526474691346,0,0,5.175939020353241e-05,0.03379232735512805,1.7491e-06
7608,2021-10-27,Guangzhou 1,2.2247149800977173,0,0,5.144002384331664e-05,0.03379232735512805,1.7383e-06
7609,2021-10-28,Guangzhou 1,2.249363153728088,0,0,5.089881220096145e-05,0.03379232735512805,1.72e-06
7610,2021-10-29,Guangzhou 1,2.2473116545550202,0,0,5.094367047730656e-05,0.03379232735512805,1.7215e-06
7611,2021-10-30,Guangzhou 1,2.249363153728088,0,0,5.089881220096145e-05,0.03379232735512805,1.72e-06
7612,2021-10-31,Guangzhou 1,2.255072242370792,0,0,5.077479026585392e-05,0.03379232735512805,1.7158e-06
7613,2021-11-01,Guangzhou 1,2.26009949909017,0,0,5.4981588749656965e-05,0.03379232735512805,1.858e-06
7614,2021-11-02,Guangzhou 1,2.2762580410734907,0,0,5.4616063255233605e-05,0.03379232735512805,1.8456e-06
7615,2021-11-03,Guangzhou 1,2.270633744129606,0,0,5.474256845305904e-05,0.03379232735512805,1.8499e-06
7616,2021-11-04,Guangzhou 1,2.2635552698006527,0,0,5.4903356283034304e-05,0.03379232735512805,1.8553e-06
7617,2021-11-05,Guangzhou 1,2.257449994046266,0,0,5.504173709019597e-05,0.03379232735512805,1.86e-06
7618,2021-11-06,Guangzhou 1,2.2533565146926313,0,0,5.5135295306623366e-05,0.03379232735512805,1.8631e-06
7619,2021-11-07,Guangzhou 1,2.256426333265239,0,0,5.5065126679490244e-05,0.03379232735512805,1.8608e-06
7620,2021-11-08,Guangzhou 1,2.2393238074030912,0,0,5.545745450031958e-05,0.03379232735512805,1.874e-06
7621,2021-11-09,Guangzhou 1,2.243475014380028,0,0,5.536166059520689e-05,0.03379232735512805,1.8708e-06
7622,2021-11-10,Guangzhou 1,2.243475014380028,0,0,5.536166059520689e-05,0.03379232735512805,1.8708e-06
7623,2021-11-11,Guangzhou 1,2.257246238156288,0,0,5.504678938681139e-05,0.03379232735512805,1.8602e-06
7624,2021-11-12,Guangzhou 1,2.264977635466723,0,0,5.4870714068984926e-05,0.03379232735512805,1.8542e-06
7625,2021-11-13,Guangzhou 1,2.274649939057542,0,0,5.465181963797442e-05,0.03379232735512805,1.8468e-06
7626,2021-11-14,Guangzhou 1,2.276459419288139,0,0,5.461136654837258e-05,0.03379232735512805,1.8454e-06
7627,2021-11-15,Guangzhou 1,2.290576918256061,0,0,5.429479968896764e-05,0.03379232735512805,1.8347e-06
7628,2021-11-16,Guangzhou 1,2.291369306534448,0,0,5.4277428311806075e-05,0.03379232735512805,1.8342e-06
7629,2021-11-17,Guangzhou 1,2.2925473800751464,0,0,5.42509406353637e-05,0.03379232735512805,1.8333e-06
7630,2021-11-18,Guangzhou 1,2.2820496863500903,0,0,5.44857021426634e-05,0.03379232735512805,1.8412e-06
7631,2021-11-19,Guangzhou 1,2.296483844635125,0,0,5.4163243910696426e-05,0.03379232735512805,1.8303e-06
7632,2021-11-20,Guangzhou 1,2.3193843718302802,0,0,5.36574824414728e-05,0.03379232735512805,1.8132e-06
7633,2021-11-21,Guangzhou 1,2.3211063858944834,0,0,5.361962410214355e-05,0.03379232735512805,1.8119e-06
7634,2021-11-22,Guangzhou 1,2.299816344818109,0,0,5.408941348289851e-05,0.03379232735512805,1.8278e-06
7635,2021-11-23,Guangzhou 1,2.3149575136419003,0,0,5.3754776608818494e-05,0.03379232735512805,1.8165e-06
7636,2021-11-24,Guangzhou 1,2.3239754016908347,0,0,5.3557188851873344e-05,0.03379232735512805,1.8098e-06
7637,2021-11-25,Guangzhou 1,2.358886988359341,0,0,5.280180554597643e-05,0.03379232735512805,1.7843e-06
7638,2021-11-26,Guangzhou 1,2.3585174114941525,0,0,5.2809623473569005e-05,0.03379232735512805,1.7846e-06
7639,2021-11-27,Guangzhou 1,2.3505525184118743,0,0,5.29805175486395e-05,0.03379232735512805,1.7903e-06
7640,2021-11-28,Guangzhou 1,2.3174661380743204,0,0,5.3699706323393764e-05,0.03379232735512805,1.8146e-06
7641,2021-11-29,Guangzhou 1,2.3255061670228208,0,0,5.352344121186376e-05,0.03379232735512805,1.8087e-06
7642,2021-11-30,Guangzhou 1,2.3310216417247784,0,0,5.340324941198043e-05,0.03379232735512805,1.8046e-06
7643,2021-12-01,Guangzhou 1,2.3168160984848494,0,0,0.0025892539075470966,0.03379232735512805,8.74969e-05
7644,2021-12-02,Guangzhou 1,2.3147623372238164,0,0,0.004555624591866533,0.03379232735512805,0.0001539452
7645,2021-12-03,Guangzhou 1,2.3085841018554976,0,0,0.002744906307287846,0.03379232735512805,9.27568e-05
7646,2021-12-04,Guangzhou 1,2.3235036039177723,0,0,0.0025584617535490766,0.03379232735512805,8.64564e-05
7647,2021-12-05,Guangzhou 1,2.34076019457448,0,0,0.003253034267340702,0.03379232735512805,0.0001099276
7648,2021-12-06,Guangzhou 1,2.331621091985954,0,0,0.00027565416673223925,0.03379232735512805,9.315e-06
7649,2021-12-07,Guangzhou 1,2.359328957305198,0,0,0.0024932664300643687,0.03379232735512805,8.42533e-05
