,city,type,syn_coef,att,att_in,att_pos,year_dff,resi_all_abs,resi_in_abs,resi_after_abs,extreme,duration,num_positive,season,gdp,gdp-2,gdp-3,pop,gdp_pop,pop_density,location geographic,location economic,num_scale,cement_prod,steel_prod,metal_value,paper_value,fuel_value,chemi_value,energy_consump,electri_consump_indus,area,ubr,ifcity,housing_area,power_resi_all_abs,power_resi_in_abs,power_resi_after_abs,power_extreme
34,Hunan 1,2,-0.0075,-0.151,0.09,-0.621,-1.76660011,0.944,0.972,0.739,0.858,53,1018,1.0,48670.37,19182.58,24885.06,6604.0,7.36983,314.0,4,3,16562,14814.6,2415.1,2022.6,533.6,771.8,33.3,10896.8,261.8,21.03184713,60.31,0,,0.632,0.798,0.237,0.252
35,Jiangsu,2,0.0051,0.306,-0.059,1.006,-11.12205426,0.963,0.99,0.849,0.905,52,631,1.0,122875.6,55888.7,62027.5,8515.0,14.4304,852.0,3,4,46090,15743.27,14211.41,9321.71,1338.63,1894.69,2683.15,32525.97,4453.35,9.994131455,74.4,0,,0.943,0.984,0.527,0.78
36,Jilin,1,-0.081,-1.038,-1.637,0.119,-0.648420789,0.713,0.619,0.758,0.685,58,77324,1.5,13070.0,4628.3,6752.8,2448.0,5.339052288,130.9,2,2,3042,2057.26,1544.24,115.35,41.12,95.98,76.54,7132.2,481.33,18.7012987,63.73,0,,0.477,0.49,0.368,0.6
37,Jilin 1,2,-0.0263,-0.413,-0.112,-1.039,0.057026772,0.882,0.959,0.394,0.823,51,280,1.0,13070.0,4628.3,6752.8,2448.0,5.339052288,130.9,2,2,3042,2057.26,1544.24,115.35,41.12,95.98,76.54,7132.2,481.33,18.7012987,63.73,0,,0.681,0.908,0.227,0.361
38,Jinan,4,0.0719,0.81,0.517,1.364,-0.488474496,0.523,0.643,0.325,0.479,32,102,2.0,10140.9,3710.0,6330.0,806.7,11.01,911.4,2,4,2315,1335.9,2336.5,21.14,39.28,258.97,13.11,4845.8,239.6,0.885121791,74.3,1,,0.499,0.545,0.205,0.304
39,Nanchang,2,0.0087,-0.19,-0.174,-0.219,0.252639223,0.749,0.781,0.647,0.725,43,735,1.5,5745.51,2676.9,2833.35,625.58,4.6796,844.0,4,3,1553,848.1,490.28,198.52,116.13,2.68,1.64,620.49,132.2,0.741208531,78.92,1,,0.62,0.642,0.373,0.583
40,Nanjing,3,-0.0229,-0.281,-0.196,-0.452,-0.840529576,0.826,0.815,0.611,0.598,29,922,3.0,16907.85,6069.64,10522.65,949.11,17.8144,1441.0,4,4,2707,773.4,1724.5,172.6,34.2,930.1,26.3,3898.9,327.3,0.658646773,87.01,1,,0.762,0.73,0.48,0.81
41,Nanjing 1,3,-0.0252,-0.573,-0.404,-0.934,0.134190542,0.564,0.654,0.223,0.59,27,104,2.0,16907.85,6069.64,10522.65,949.11,17.8144,1441.0,4,4,2707,773.4,1724.5,172.6,34.2,930.1,26.3,3898.9,327.3,0.658646773,87.01,1,,0.914,0.969,0.429,0.724
42,Qinghai,3,-0.174,-0.775,-0.702,-0.93,-0.875788899,0.431,0.513,0.227,0.194,67,1019,3.0,1528.07,1143.55,1528.07,610.82,5.08,8.26,1,1,580,1850.0,200.0,649.03,0.0,27.93,0.0,4150.36,651.82,73.94915254,61.63,0,,0.143,0.14,0.116,0.092
43,Qingdao,1,0.0047,-0.242,-0.312,-0.108,-0.103663888,0.764,0.553,0.785,0.814,23,317,1.0,14920.8,5197.3,9245.4,992.3,15.03658168,878.7,2,4,1322,442.47,336.19,68.53,47.4,569.0,4.93,3187.0,298.0,1.129281894,77.32,1,,0.918,0.806,0.792,0.414
44,Shandong,2,0.0186,2.764,1.574,5.128,-8.394387495,0.852,0.859,0.625,0.844,63,759,1.0,87435.0,35014.0,46122.0,10162.79,8.6034,677.0,2,4,27129,14357.1,9391.08,6375.0,1566.0,10835.4,171.66,41390.0,4668.0,15.01150665,64.56,0,,0.942,0.941,0.786,0.886
45,Shanghai,1,-0.1339,-1.602,-2.049,-0.698,-2.231204174,0.69,0.605,0.773,0.447,94,568973,1.5,44652.8,11458.4,33097.4,2475.0,18.04153535,3900.0,4,4,8776,429.99,1819.69,329.83,241.66,1367.16,23.02,11696.46,851.5,0.634615385,89.3,1,,0.561,0.396,0.73,0.176
