date,state,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人)
2003,江苏省,12442.87,1106.35,6787.11,6004.65,782.46,4567.37,821.48,1434.33,392.11,549.5,1397.91,8.8786,54.4676,36.6,16809,113.6,99.8658,117.2,112.4,3566.5,5233,7405.82
2003,浙江省,9705.02,728,4941,4381,560,3726,700.88,1095.92,451.53,238.5,1311.1,7.7488,52.5918,39.6594,20147,114.7,103.6,116.7,114.4,3157.1,4740.27,4679.55
2003,安徽省,3923.1,732.81,1780.6,1445.6,335,1458.97,254.32,380.49,87.45,166.66,681.5,18.5,44.8245,36.7279,6455,109.4,97.8,112.6,114.3,1331.2,1418.69,6410
2003,福建省,4983.67,692.94,2492.73,2147,345.73,2046.5,532.04,520.56,150.09,158.21,584.58,13.3,47.6424,39.1138,14979,111.5,103.2995,116.0246,109.7,1740.4,1496.37,3488
2003,江西省,2807.41,560,1227.38,849.32,378.06,1043.08,261.11,243.06,64.31,138.02,331.58,19.7848,43.3633,36.8,6678,113,102.7,124.3,107.4,923.2,1303.22,4254.23
2003,山东省,12078.15,1480.67,6656.85,5860.63,796.22,4298.41,724.62,1283.7,329.71,490.88,1370.62,11.9064,53.5292,34.5644,13661,113.4,105.55,117.01,111.4,3936.5,5315.14,9125
2003,河南省,6867.7,1239.7,3551.94,3034.14,517.8,2256.95,561.17,643.7,165.11,201.17,797.36,17.5879,50.3922,32.0199,7570.1751,110.7,97.4514,117.0476,110.1,2426.4,2262.97,9667
2003,湖北省,4757.45,798.35,2580.58,2254.5,326.08,2022.78,334.59,569.27,107.31,148.95,765.06,14.7796,47.7734,37.447,9010.7,109.7,105.8,110.2,110.8,2358.7,1809.45,6001.7
2003,湖南省,4659.99,886.47,1794.21,1452.86,341.35,1958.05,359.83,458.07,99.35,137.71,878.6,19.1102,38.6789,42.2109,7554,109.6,103.6,112.4,109.7,1816.3,1590.32,6662.8
2003,广东省,15844.64,1093.5191,7307.08,6532.98,774.1,5225.267,1207.6748,2009.33,534.28,731.5729,2416.28,8.0253,53.6265,38.4,17213.0699,114.8,102.3158,120.0076,111.3,5606,4813.2,7954.22
2003,广西壮族自治区,2821.11,652.28,1007.96,813.81,194.15,1074.89,248.22,375.96,61.59,81.67,405.38,23.8482,36.8524,39.2994,5969,110.2,104.0336,114.622,110,857.7,921.3,4857
2003,海南省,693.2,248.33,151.16,102.52,48.64,271.44,58.19,85.64,10.68,12.45,105.85,37.0128,22.5299,40.4573,8316,110.6,108.9915,119.0469,107.8,191.6,280.02,810.52
2003,重庆市,2272.82,336.36,977.3,768.37,208.93,936.9,136.56,253.49,74.86,87.79,346.43,15,43.4247,41.6296,7209,111.5,104.2,116,109.5,835.5,1161.51,3130
2003,四川省,5333.09,1128.61,2266.06,1771.41,494.65,2061.65,381.25,540.91,206.24,187.36,785.35,20.6845,41.5309,37.7846,6418,111.3,105.5439,116.4921,111.2,2091.1,2336.34,8700.4
2003,贵州省,1426.34,298.37,579.31,457.12,122.19,478.43,93.11,116.05,48.01,38.85,215.1,22.0019,42.7185,35.2796,3603,110.1,104.5528,113.3,110.1,458.8,748.12,3869.66
2003,云南省,2556.02,502.84,1069.29,872.14,197.15,893.16,172.52,244.87,105.47,90.04,383.25,20.3968,43.3738,36.2294,5662,108.8,105.5,110.5,109.1,782.5,1000.12,4375.6
2003,陕西省,2587.72,320.03,1133.56,834.76,298.8,944.99,226.01,256.16,77.87,117.37,428.46,13.3425,47.2596,39.3979,6480,111.8,105.1,114.8,109.8,853.2,1200.68,3689.5
2003,甘肃省,1399.83,236.61,607.62,449.81,157.81,460.37,70.91,140.18,42.31,33.4,234.34,18.1366,46.5752,35.2882,5021.6324,110.7,105.4204,112.2302,112,474.6,619.82,2603.34
2003,青海省,390.2,46.15,184.26,120.77,63.49,159.8,32.58,33.3,17.98,5.94,68.22,11.827,47.2207,40.9523,7277,111.9,103.8046,116.4431,109.9,102.7,255.62,533.8
2003,宁夏回族自治区,445.36,55.5,192,143.31,48.69,137.84,27.84,36.53,24.8,8.66,67.3,14.4029,49.8261,35.771,6691,112.7,102.4,118.8,110.4,120.8,317.99,580.3
2003,新疆维吾尔自治区,1886.35,412.9,796.84,571,225.84,667.87,121.24,141.32,64.92,24.67,340.4,21.9907,42.4391,35.5702,9700,111.2,108.2,112.1,112.3,421.2,973.39,1933.95
2004,北京市,6060.28,102.9,1610.37,1290.16,320.21,2570.04,283.09,305.03,598.57,228.44,1154.91,2.4023,37.5964,60.0013,37058,114.1,101.9114,116.6504,111.6042,2191.814,2528.2,1493
2004,天津市,3110.97,102.29,1560.16,1436.73,123.43,1269.43,285.05,242.07,129.72,146.51,466.08,3.4889,53.2136,43.2975,31550,115.8,105.1375,119.803,111.6892,1052.7006,1245.7,1024
2004,河北省,8477.63,1370.4,4635.23,4086.43,548.8,2763.16,724.34,689.24,231.59,154.38,963.61,15.6282,52.8605,31.5113,12918,112.9,106.7401,114.1879,112.4539,2522.8853,3218.8,6809
2004,山西省,3571.37,253.37,1810.08,1568.47,241.61,978.96,235.77,201.24,80.55,42.28,419.12,8.3279,59.4949,32.1771,9150,115.2,104.4953,116.7631,112.6576,884.7572,1443.9,3335
2004,内蒙古自治区,3041.07,506.07,1332.4728,1015.66,316.8128,873.5345,242.9624,203.3616,30.566,27.7807,368.8639,18.6599,49.1311,32.2091,11305,120.9,111.6746,127.507,113.3987,891.9597,1788,2384
2004,辽宁省,6672,769.8962,3278.8848,2832.9889,445.8959,2823.8711,613.031,896.0006,159.7139,206.1344,948.9912,11.2023,47.7092,41.0885,16297,112.8,107.8804,115.9813,110.6587,2642.8367,2979.6,4217
