date,state,total,avg,intensity,coal_co2,coke_co2,gasoline_co2,kerosene_co2,diesel_co2,fuel_co2,gas_co2
2003,北京市,10453.835,7.1779,2.081,5087.8579,1255.1042,483.8798,418.9514,342.2489,209.5701,458.7423
2003,天津市,10265.505,10.1508,3.982,6098.8004,409.9673,311.6723,56.5223,600.7102,359.7883,157.1717
2003,河北省,39588.591,5.8481,5.72,28257.7588,7420.3935,459.8059,8.2308,538.8072,198.7269,179.2537
2003,山西省,48647.369,14.6781,17.038,39009.0222,8835.962,261.445,15.7934,437.2268,33.7975,54.1225
2003,内蒙古自治区,19858.161,8.3451,8.315,17171.1635,1367.054,283.0003,5.3455,473.0295,124.8226,44.164
2003,辽宁省,39491.541,9.3804,6.579,19890.5214,3239.1282,667.5679,55.9452,829.8165,610.4481,407.4342
2003,吉林省,13997.424,5.1771,5.258,9897.9596,661.9905,302.8569,12.3614,286.8245,91.786,66.6789
2003,黑龙江省,20434.193,5.3563,5.036,12349.3982,303.5448,908.3949,21.4426,1300.6141,200.7561,453.763
2003,上海市,20460.091,11.958,3.056,9546.7973,1797.9851,592.3003,314.168,893.7343,1953.2499,107.5955
2003,江苏省,30131.025,4.0686,2.422,20642.0498,1283.199,993.3272,45.315,1283.1312,685.8109,13.4224
2003,浙江省,21895.102,4.6789,2.256,13826.3311,363.5148,767.7587,31.5869,1766.824,829.4028,
2003,安徽省,17935.315,2.798,4.572,14248.5782,1717.3663,224.6313,22.8701,538.4663,170.6046,
2003,福建省,9309.752,2.6691,1.868,6225.5583,378.9799,406.0935,77.5701,825.7247,299.8976,
2003,江西省,8775.623,2.0628,3.126,5876.6792,852.5258,174.6384,16.1579,779.9097,125.964,0
2003,山东省,40685.04,4.4586,3.369,28855.7393,1890.4031,613.5919,43.2194,1615.0268,764.6929,208.0469
2003,河南省,24862.48,2.5719,3.62,21728.7769,1491.1182,357.2721,38.6939,522.8743,248.4404,363.0537
2003,湖北省,19636.614,3.2718,4.128,13772.6178,1582.2761,857.6991,39.271,1149.9018,287.7863,20.3501
2003,湖南省,13286.745,1.9942,2.851,9483.5325,1133.6175,398.0982,27.0615,573.122,135.6657,
2003,广东省,30366.196,3.8176,1.917,15050.8327,652.9406,1098.3796,363.3706,2901.0098,3936.6513,27.2777
2003,广西壮族自治区,6879.83,1.4165,2.439,4987.8519,556.1694,341.7793,31.678,674.9195,66.1049,
2003,海南省,2179.526,2.689,3.144,1155.3385,16.9543,57.959,158.5418,157.2529,16.6134,521.3079
2003,重庆市,6650.86,2.1249,2.926,5034.7916,537.6399,192.9135,26.0592,226.7504,9.4798,622.4088
2003,四川省,18929.56,2.1757,3.55,13802.3761,1791.5986,532.0276,219.1036,703.5926,35.2877,1616.7473
2003,贵州省,14267.043,3.6869,10.003,12926.2208,687.3074,172.6176,7.7449,323.6501,31.5148,117.9871
2003,云南省,12106.409,2.7668,4.736,8778.1826,2174.3588,310.7351,60.8047,643.0535,18.0401,121.2344
2003,陕西省,12206.202,3.3084,4.717,7535.9288,540.9334,308.7728,109.3696,503.9035,181.1941,395.3107
2003,甘肃省,10503.602,4.0347,7.504,6123.9161,520.5997,286.4854,16.2186,255.2065,63.2515,159.5531
2003,青海省,2034.375,3.8111,5.214,1285.1407,86.6903,50.2565,,70.1485,12.365,327.9824
2003,宁夏回族自治区,6883.931,11.8627,15.457,5641.6958,148.9228,66.1886,,164.4134,38.046,218.6549
2003,新疆维吾尔自治区,11805.388,6.1043,6.258,6058.311,248.0424,267.5367,47.4107,562.7687,147.4917,877.867
2004,北京市,11687.95,7.8285,1.929,5592.8154,1305.1651,581.0248,555.2609,408.9566,212.2967,584.956
2004,天津市,11633.969,11.3613,3.74,6675.7561,939.4738,347.666,45.6187,700.6478,361.12,185.099
2004,河北省,46162.567,6.7796,5.445,32486.6237,9288.9451,497.469,9.4457,652.5699,176.153,210.6448
2004,山西省,51430.26,15.4214,14.401,42682.6412,7802.1514,233.6517,24.6317,590.6049,32.4976,64.081
2004,内蒙古自治区,25208.095,10.5739,8.289,21674.4929,1655.2769,443.1123,5.8922,781.8006,152.0889,95.6886
2004,辽宁省,43543.073,10.3256,6.526,22727.7134,2351.3192,671.1995,65.3909,997.1437,612.8259,342.2707
2004,吉林省,14993.532,5.5347,4.803,10873.9686,715.9464,325.4371,31.2528,319.4034,121.9057,86.596
2004,黑龙江省,22133.269,5.7986,4.659,13979.879,278.772,941.8113,27.1526,1427.1479,151.1694,440.3407
2004,上海市,21600.477,12.3998,2.676,9788.0977,1691.5625,647.3013,510.7052,1074.2667,2086.0305,231.4278
2004,江苏省,37029.737,4.9818,2.468,25252.7866,2294.1844,1066.7204,61.2907,1575.0394,1040.5581,67.9779
2004,浙江省,25713.543,5.4478,2.207,15910.0539,427.3225,816.1115,32.0425,1989.5136,926.7689,6.9277
2004,安徽省,18634.361,2.8841,3.915,14884.9363,1558.7921,228.9658,25.7858,587.3501,75.8384,3.2474
2004,福建省,10932.206,3.1137,1.897,7241.9045,589.7056,562.7497,79.6354,1005.3581,258.8396,12.9894
2004,江西省,10664.446,2.4894,3.085,7504.0776,1087.0505,181.0522,26.3022,618.3791,148.633,0
2004,山东省,51660.662,5.6275,3.439,34762.4812,3538.3485,684.32,66.0287,1805.0135,885.0768,253.5098
2004,河南省,35119.558,3.6142,4.106,28421.8476,2342.6988,650.025,38.3598,851.918,244.9211,439.2582
2004,湖北省,21621.309,3.594,3.838,15323.794,1604.815,891.9356,44.1913,1179.6289,276.4676,20.3501
2004,湖南省,16314.97,2.4358,2.892,11491.9084,1584.7963,469.9685,35.1708,752.9724,116.7061,1.2989
2004,广东省,34532.776,4.1586,1.831,16725.1896,796.2501,1310.4175,397.7821,3173.2343,4863.3885,35.0714
2004,广西壮族自治区,9016.639,1.8443,2.626,6405.8391,985.6398,377.8023,15.3379,888.5887,93.9419,0.433
2004,海南省,1928.384,2.3574,2.414,908.2348,10.0523,100.1908,164.7985,167.3272,18.6425,517.1946
2004,重庆市,7533.704,2.4131,2.798,5526.1638,548.2077,223.6648,38.0561,525.6331,13.6966,656.8307
2004,四川省,21702.555,2.4874,3.402,15580.6014,2329.2671,597.5134,239.9084,836.0471,25.7128,1745.7754
2004,贵州省,16662.146,4.268,9.931,15209.6891,770.5609,196.8965,8.1701,336.0183,32.783,108.0285
2004,云南省,15106.654,3.4217,4.902,10823.5851,2996.5558,326.4622,71.3742,739.8913,23.9056,124.6982
2004,陕西省,15413.86,4.1603,4.854,9433.7008,714.9726,424.5444,147.1827,612.9855,126.3444,709.4377
2004,甘肃省,11914.65,4.5493,7.056,6620.1022,993,226.8864,20.653,328.2688,49.0793,184.666
2004,青海省,2182.36,4.0489,4.682,1293.9311,118.0786,49.2314,,74.1782,6.9751,387.7336
2004,宁夏回族自治区,6553.062,11.1447,12.2,5253.7162,328.8616,103.9396,12.5436,213.7002,12.6186,146.5637
2004,新疆维吾尔自治区,13468.623,6.8612,6.097,6910.2068,363.3716,324.8221,55.277,607.9948,63.7588,1169.2625
2005,北京市,11998.62,7.8014,1.722,5839.3292,1138.1139,688.9181,575.1242,436.6378,208.8725,693.634
2005,天津市,12488.522,11.9737,3.198,7233.0189,944.371,348.3982,45.9225,753.6854,357.2836,195.707
2005,河北省,57412.516,8.3802,5.734,39086.0055,12882.5095,649.9078,9.7494,1359.8203,192.703,197.8719
2005,山西省,56159.395,16.739,13.275,48863.9998,6128.4596,278.9001,25.6643,763.8527,28.376,70.1428
