state,Pop,GDP,GDP-1,GDP-2,GDP-3
Hebei,7287.51,26575.01,3186.66,14003.57,9384.78
Hebei,7332.61,28442.95,3500.42,14762.1,10038.89
Hebei,7383.75,29421.15,3447.46,15012.85,10960.84
Hebei,7424.92,29806.11,3439.45,14386.87,11979.79
Hebei,7470,32070.45,3492.81,15256.93,13320.71
Hebei,7519.52,34016.32,3129.98,15846.21,15040.13
Hebei,7556,36010.27,3338,16040.06,16632.21
Hebei,7592,35104.52,3518.44,13597.26,17988.82
Henan,9488,5137.66,1161.58,2413.78,1562.3
Henan,9555,5533.01,1234.34,2659.04,1746.73
Henan,9613,6035.48,1288.36,2951.06,1929.31
Henan,9667,6867.7,1239.7,3551.94,2256.95
Henan,9717,8553.79,1647.48,4515.35,2652.26
Henan,9380,10587.42,1892.01,5514.14,3181.27
Henan,9392,12362.79,2049.92,6724.61,3721.44
Henan,9360,15012.46,2217.66,8282.83,4511.97
Henan,9429,18018.53,2658.8,10477.92,5271.06
Henan,9487,19480.46,2769.05,11010.5,5700.91
Henan,9405.4697,23092.36,3258.09,13226.38,6607.89
Henan,9388,26931.03,3512.24,15427.08,7991.72
Henan,9406,29599.31,3769.54,16672.2,9157.57
Henan,9413.35,32191.2999,4058.98,17806.39,10290.49
Henan,9436,34938.24,4160.01,17816.56,12961.67
Henan,9480,37002.16,4209.56,17917.37,14875.23
Henan,9532,40471.79,4286.21,19275.82,16909.76
Henan,9559.13,44552.83,4139.29,21105.52,19308.02
Henan,9605,48055.86,4289.38,22034.83,21731.65
Henan,9640,54259.2,4635.4,23605.79,26018.01
Heilongjiang,3807,3253,357,1868.55,1027.45
Heilongjiang,3811,3390.13,409.3,1998.74,1152.96
Heilongjiang,3813,3637.2,447,2169.15,1266.01
Heilongjiang,3815,4057.4,500.8,2532.45,1396.75
Heilongjiang,3817,4750.6,587.7563,3155.3325,1559.9154
Heilongjiang,3820,5513.7,684.6,2971.68,1855.22
Heilongjiang,3823,6211.8,737.59,3365.31,2086
Heilongjiang,3824,7104,915.38,3695.58,2454.04
Heilongjiang,3825.39,8314.37,1089.1,4365.9,2855
Heilongjiang,3826,8587,1154.33,4060.72,3371.95
Heilongjiang,3833.4024,10368.6,1302.9,5204.11,3861.59
Heilongjiang,3834,12582,1701.5,6330.53,4549.97
Heilongjiang,3834,13691.58,2113.66,6037.61,5540.31
Heilongjiang,3835.02,14454.9056,2516.79,5918.22,5947.92
Heilongjiang,3833,15039.3764,2611.36,5544.4064,6883.61
Heilongjiang,3811.7,15083.67,2633.5,4798.08,7652.09
Heilongjiang,3799,15386.09,2670.46,4400.69,8314.94
Heilongjiang,3788.7,15902.6817,2965.25,4060.6017,8876.83
Heilongjiang,3773,16361.62,3000.96,4030.94,9329.72
Heilongjiang,3751,13612.68,3182.45,3615.21,6815.03
Hubei,5960,4276.32,662.3,2123.7,1490.32
Hubei,5975,3880.53,692.17,2313.66,1656.45
Hubei,5988,4212.82,707,2446.05,1822.58
Hubei,6001.7,4757.45,798.35,2580.58,2022.78
Hubei,6016,5633.24,1020.09,2994.67,2295.16
Hubei,5710,6590.19,1082.13,2810.01,2628
Hubei,5693,7617.47,1140.41,3365.08,3075.83
Hubei,5699,9333.4,1378,3966.68,3886
Hubei,5711,11328.89,1780,4963.61,4586.77
Hubei,5720,12961.1,1795.9,6038.08,5127.12
Hubei,5727.9143,15967.61,2147,7767.24,6053.37
Hubei,5757.5,19632.26,2569.3,9815.94,7247.02
Hubei,5779,22250.45,2848.77,11193.1,8208.58
Hubei,5799,24791.83,3098.16,12171.56,9398.77
Hubei,5816,27379.2176,3176.89,12852.4003,11349.9273
Hubei,5851.5,29550.1881,3309.84,13503.5569,12736.7912
Hubei,5885,32665.38,3659.33,14654.38,14351.67
Hubei,5902,35478.09,3528.96,15441.75,16507.38
Hubei,5917,39366.55,3547.51,17088.95,18730.09
Hubei,5927,45828.31,3809.09,19098.62,22920.6
Hunan,6562,3691.88,784.92,1461.86,1445.1
Hunan,6596,3831.9,825.73,1573,1584.27
Hunan,6629,4151.54,847.25,1737.2,1756.49
Hunan,6662.8,4659.99,886.47,1794.21,1958.05
Hunan,6698,5641.94,1155.85,2214.41,2242
Hunan,6326,6596.1,1274.15,2596.71,2640.48
Hunan,6342,7688.67,1332.23,3151.7,3084.96
Hunan,6355,9439.6,1626.52,3916.44,3657.04
Hunan,6380,11555,2007.4,4933.08,4216.16
Hunan,6406,13059.69,1969.69,5687.19,5402.81
Hunan,6570.1,16037.96,2325.5,7343.19,6369.27
Hunan,6595.6,19669.56,2768.03,9361.99,7539.54
Hunan,6638.93,22154.2275,3004.21,10506.42,8643.6
Hunan,6690.6,24621.67,3099.23,11517.35,9885.09
Hunan,6737.24,27037.3212,3148.7453,12482.0641,11406.5118
Hunan,6783.03,28902.2139,3331.6211,12810.8214,12759.7713
