state,GDP,GDP-1,GDP-2,GDP-3,Pop
Hebei,11467.6,1606.48,6115.01,3938.94,6898
Hebei,13607.32,1804.72,7241.8,4662.98,6943
Hebei,16011.97,2034.6,8777.42,5376.59,6988.82
Hebei,17235.48,2207.34,8959.83,6068.31,7034.4
Hebei,20394.26,2562.81,10707.68,7123.77,7193.6
Hebei,24515.76,2905.73,13126.86,8483.17,7240.51
Hebei,26575.01,3186.66,14003.57,9384.78,7287.51
Hebei,28442.95,3500.42,14762.1,10038.89,7332.61
Hebei,29421.15,3447.46,15012.85,10960.84,7383.75
Hebei,29806.11,3439.45,14386.87,11979.79,7424.92
Hebei,32070.45,3492.81,15256.93,13320.71,7470
Hebei,34016.32,3129.98,15846.21,15040.13,7519.52
Hebei,36010.27,3338,16040.06,16632.21,7556
Hebei,35104.52,3518.44,13597.26,17988.82,7592
Henan,5137.66,1161.58,2413.78,1562.3,9488
Henan,5533.01,1234.34,2659.04,1746.73,9555
Henan,6035.48,1288.36,2951.06,1929.31,9613
Henan,6867.7,1239.7,3551.94,2256.95,9667
Henan,8553.79,1647.48,4515.35,2652.26,9717
Henan,10587.42,1892.01,5514.14,3181.27,9380
Henan,12362.79,2049.92,6724.61,3721.44,9392
Henan,15012.46,2217.66,8282.83,4511.97,9360
Henan,18018.53,2658.8,10477.92,5271.06,9429
Henan,19480.46,2769.05,11010.5,5700.91,9487
Henan,23092.36,3258.09,13226.38,6607.89,9405.4697
Henan,26931.03,3512.24,15427.08,7991.72,9388
Henan,29599.31,3769.54,16672.2,9157.57,9406
Henan,32191.2999,4058.98,17806.39,10290.49,9413.35
Henan,34938.24,4160.01,17816.56,12961.67,9436
Henan,37002.16,4209.56,17917.37,14875.23,9480
Henan,40471.79,4286.21,19275.82,16909.76,9532
Henan,44552.83,4139.29,21105.52,19308.02,9559.13
Henan,48055.86,4289.38,22034.83,21731.65,9605
Henan,54259.2,4635.4,23605.79,26018.01,9640
Heilongjiang,3253,357,1868.55,1027.45,3807
Heilongjiang,3390.13,409.3,1998.74,1152.96,3811
Heilongjiang,3637.2,447,2169.15,1266.01,3813
Heilongjiang,4057.4,500.8,2532.45,1396.75,3815
Heilongjiang,4750.6,587.7563,3155.3325,1559.9154,3817
Heilongjiang,5513.7,684.6,2971.68,1855.22,3820
Heilongjiang,6211.8,737.59,3365.31,2086,3823
Heilongjiang,7104,915.38,3695.58,2454.04,3824
Heilongjiang,8314.37,1089.1,4365.9,2855,3825.39
Heilongjiang,8587,1154.33,4060.72,3371.95,3826
Heilongjiang,10368.6,1302.9,5204.11,3861.59,3833.4024
Heilongjiang,12582,1701.5,6330.53,4549.97,3834
Heilongjiang,13691.58,2113.66,6037.61,5540.31,3834
Heilongjiang,14454.9056,2516.79,5918.22,5947.92,3835.02
Heilongjiang,15039.3764,2611.36,5544.4064,6883.61,3833
Heilongjiang,15083.67,2633.5,4798.08,7652.09,3811.7
Heilongjiang,15386.09,2670.46,4400.69,8314.94,3799
Heilongjiang,15902.6817,2965.25,4060.6017,8876.83,3788.7
Heilongjiang,16361.62,3000.96,4030.94,9329.72,3773
Heilongjiang,13612.68,3182.45,3615.21,6815.03,3751
Hubei,4276.32,662.3,2123.7,1490.32,5960
Hubei,3880.53,692.17,2313.66,1656.45,5975
Hubei,4212.82,707,2446.05,1822.58,5988
Hubei,4757.45,798.35,2580.58,2022.78,6001.7
Hubei,5633.24,1020.09,2994.67,2295.16,6016
Hubei,6590.19,1082.13,2810.01,2628,5710
Hubei,7617.47,1140.41,3365.08,3075.83,5693
Hubei,9333.4,1378,3966.68,3886,5699
Hubei,11328.89,1780,4963.61,4586.77,5711
Hubei,12961.1,1795.9,6038.08,5127.12,5720
Hubei,15967.61,2147,7767.24,6053.37,5727.9143
Hubei,19632.26,2569.3,9815.94,7247.02,5757.5
Hubei,22250.45,2848.77,11193.1,8208.58,5779
Hubei,24791.83,3098.16,12171.56,9398.77,5799
Hubei,27379.2176,3176.89,12852.4003,11349.9273,5816
Hubei,29550.1881,3309.84,13503.5569,12736.7912,5851.5
Hubei,32665.38,3659.33,14654.38,14351.67,5885
Hubei,35478.09,3528.96,15441.75,16507.38,5902
Hubei,39366.55,3547.51,17088.95,18730.09,5917
Hubei,45828.31,3809.09,19098.62,22920.6,5927
Hunan,3691.88,784.92,1461.86,1445.1,6562
Hunan,3831.9,825.73,1573,1584.27,6596
Hunan,4151.54,847.25,1737.2,1756.49,6629
Hunan,4659.99,886.47,1794.21,1958.05,6662.8
Hunan,5641.94,1155.85,2214.41,2242,6698
Hunan,6596.1,1274.15,2596.71,2640.48,6326
Hunan,7688.67,1332.23,3151.7,3084.96,6342
Hunan,9439.6,1626.52,3916.44,3657.04,6355
Hunan,11555,2007.4,4933.08,4216.16,6380
Hunan,13059.69,1969.69,5687.19,5402.81,6406
Hunan,16037.96,2325.5,7343.19,6369.27,6570.1
Hunan,19669.56,2768.03,9361.99,7539.54,6595.6
Hunan,22154.2275,3004.21,10506.42,8643.6,6638.93
Hunan,24621.67,3099.23,11517.35,9885.09,6690.6
Hunan,27037.3212,3148.7453,12482.0641,11406.5118,6737.24
Hunan,28902.2139,3331.6211,12810.8214,12759.7713,6783.03
