state,electri_consump,GDP,GDP-1,GDP-2,GDP-3,Pop
Heilongjiang,503.63,4057.4,500.8,2532.45,1396.75,3815
Heilongjiang,541.65,4750.6,587.7563,3155.3325,1559.9154,3817
Heilongjiang,555.85,5513.7,684.6,2971.68,1855.22,3820
Heilongjiang,596.86,6211.8,737.59,3365.31,2086,3823
Heilongjiang,642.94,7104,915.38,3695.58,2454.04,3824
Heilongjiang,697.1,8314.37,1089.1,4365.9,2855,3825.39
Heilongjiang,688.66,8587,1154.33,4060.72,3371.95,3826
Heilongjiang,747.84,10368.6,1302.9,5204.11,3861.59,3833.4024
Heilongjiang,817,12582,1701.5,6330.53,4549.97,3834
Heilongjiang,827.9,13691.58,2113.66,6037.61,5540.31,3834
Heilongjiang,845.2,14454.9056,2516.79,5918.22,5947.92,3835.02
Heilongjiang,859.42,15039.3764,2611.36,5544.4064,6883.61,3833
Heilongjiang,869,15083.67,2633.5,4798.08,7652.09,3811.7
Heilongjiang,896.62,15386.09,2670.46,4400.69,8314.94,3799
Heilongjiang,928.57,15902.6817,2965.25,4060.6017,8876.83,3788.7
Heilongjiang,973.88,16361.62,3000.96,4030.94,9329.72,3773
Heilongjiang,995.63,13612.68,3182.45,3615.21,6815.03,3751
Hubei,503.02,4276.32,662.3,2123.7,1490.32,5960
Hubei,526.03,3880.53,692.17,2313.66,1656.45,5975
Hubei,567.43,4212.82,707,2446.05,1822.58,5988
Hubei,629.2,4757.45,798.35,2580.58,2022.78,6001.7
Hubei,699.41,5633.24,1020.09,2994.67,2295.16,6016
Hubei,788.91,6590.19,1082.13,2810.01,2628,5710
Hubei,894.76,7617.47,1140.41,3365.08,3075.83,5693
Hubei,1009.23,9333.4,1378,3966.68,3886,5699
Hubei,1076.24,11328.89,1780,4963.61,4586.77,5711
Hubei,1183.04,12961.1,1795.9,6038.08,5127.12,5720
Hubei,1330.44,15967.61,2147,7767.24,6053.37,5727.9143
Hubei,1573,19632.26,2569.3,9815.94,7247.02,5757.5
Hubei,1642.74,22250.45,2848.77,11193.1,8208.58,5779
Hubei,1629.75,24791.83,3098.16,12171.56,9398.77,5799
Hubei,1656.54,27379.2176,3176.89,12852.4003,11349.9273,5816
Hubei,1665,29550.1881,3309.84,13503.5569,12736.7912,5851.5
Hubei,1763.11,32665.38,3659.33,14654.38,14351.67,5885
Hubei,1869,35478.09,3528.96,15441.75,16507.38,5902
Hubei,2071.43,39366.55,3547.51,17088.95,18730.09,5917
Hubei,2214.3,45828.31,3809.09,19098.62,22920.6,5927
Hunan,406.12,3691.88,784.92,1461.86,1445.1,6562
Hunan,439.68,3831.9,825.73,1573,1584.27,6596
Hunan,476,4151.54,847.25,1737.2,1756.49,6629
Hunan,546.95,4659.99,886.47,1794.21,1958.05,6662.8
Hunan,662.61,5641.94,1155.85,2214.41,2242,6698
Hunan,674.43,6596.1,1274.15,2596.71,2640.48,6326
Hunan,768.78,7688.67,1332.23,3151.7,3084.96,6342
Hunan,890.58,9439.6,1626.52,3916.44,3657.04,6355
Hunan,1128.54,11555,2007.4,4933.08,4216.16,6380
Hunan,1232.19,13059.69,1969.69,5687.19,5402.81,6406
Hunan,1171.91,16037.96,2325.5,7343.19,6369.27,6570.1
Hunan,1545,19669.56,2768.03,9361.99,7539.54,6595.6
Hunan,1582.34,22154.2275,3004.21,10506.42,8643.6,6638.93
Hunan,1423.09,24621.67,3099.23,11517.35,9885.09,6690.6
Hunan,1430.88,27037.3212,3148.7453,12482.0641,11406.5118,6737.24
Hunan,1448,28902.2139,3331.6211,12810.8214,12759.7713,6783.03
Hunan,1495.65,31551.37,3578.37,13341.17,14631.83,6822
Hunan,1581.51,33902.96,2998.4,14145.49,16759.07,6860.15
Hunan,1745.24,36425.78,3083.59,14453.54,18888.65,6899
Hunan,1864.32,39752.12,3646.95,14946.98,21158.19,6918
Jilin,291.37,1821.19,398.73,800.28,622.18,2682
Jilin,323.36,2120.35,409.1,880.84,742.54,2691
Jilin,344.54,2348.54,446.17,978.37,821.58,2699
Jilin,359.4,2662.08,486.9,1143.39,892.33,2703.7
Jilin,383.06,3122.01,560.96,1379.31,1017.94,2709
Jilin,378.23,3620.27,625.61,1580.83,1413.83,2716
Jilin,412.45,4275.12,672.76,1915.29,1687.07,2723
Jilin,462.64,5284.69,783.8,2475.45,2025.44,2730
Jilin,496.49,6426.1,916.7,3064.63,2442.73,2734
Jilin,515.25,7278.75,980.57,3541.92,2756.26,2739.55
Jilin,576.98,8667.58,1050.15,4506.31,3111.12,2746.6021
Jilin,631,10568.83,1277.44,5611.48,3679.91,2749.41
Jilin,787.05,11939.24,1412.11,6376.77,4150.36,2750.4
Jilin,653.85,13046.4,1509.34,6858.23,4613.89,2751.28
Jilin,667.81,13803.14,1524.01,7286.59,4992.54,2752.38
Jilin,652,14063.13,1596.28,7005.71,5461.14,2753.32
Jilin,667.63,14776.8,1498.52,7004.95,6273.33,2733
Jilin,702.98,14944.53,1095.36,6998.51,6850.66,2717
Jilin,750.57,15074.62,1160.75,6410.85,7503.02,2704
