state,electri_consump,coal_consump,gas_consump,oil_consump
Shandong,3635,38921,52.86,5826.37
Shandong,3794.55,40233,67.23,6271.5
Shandong,4083.12,37683.44,68.8,6766.01
Shandong,4223.49,39561.73,74.96,7815.9
Shandong,5117,43515.9,82.32,8607.02
Shandong,5390.75,42160.4,98.61,10203.42
Shandong,5430.16,42003.58,126.91,11487.18
Shandong,5916.77,42319.48,156.33,13035.48
Shandong,6218.72,43132.99,189.98,13632.1
Shanxi,501.99,14262.48,1.14,
Shanxi,557.08,14856,1.58,
Shanxi,628.83,18055,1.92,
Shanxi,731.77,20501.93,2.5,
Shanxi,841.55,22432.67,2.96,
Shanxi,946.33,25681.4,3.24,
Shanxi,1097.67,28351.22,6.02,
Shanxi,1348.81,29203.48,6.91,
Shanxi,1313.49,28373,6.6,
Shanxi,1267.54,27762,13.76,
Shanxi,1460,29865.1,28.93,
Shanxi,1650,33479,31.93,
Shanxi,1765.78,34551,37.39,
Shanxi,1832.35,36636.51,45.08,
Shanxi,1822.63,37587.43,50.35,
Shanxi,1737,43880.62,64.92,
Shanxi,1797.18,43566.14,69.35,
Shanxi,1990.61,45916.08,74.9,
Shanxi,2160.53,48940.14,75.21,
Shanxi,2261.9,51331.61,91.7,
Shaanxi,292.76,2765.72,6.67,521.61
Shaanxi,344.69,3133,10.84,618.26
Shaanxi,373.86,3451,14.01,704.25
Shaanxi,421.92,3960.65,18.26,869.97
Shaanxi,459.78,4958.06,32.77,1072.98
Shaanxi,516.43,6049.12,18.76,1242.42
Shaanxi,580.73,7400.1,28.43,1488.94
Shaanxi,653.69,7893.75,41.34,1608.85
Shaanxi,708.02,8941,51.6,1764.73
Shaanxi,740.11,9497,50.01,1870.1
Shaanxi,859.22,11638.53,59.19,2104.61
Shaanxi,982,13318,62.49,2095.67
Shaanxi,1066.75,15774,65.97,2267.96
Shaanxi,1152.22,17247.95,70.3,2230.64
Shaanxi,1226.01,18375.34,74.26,2249.6
Shaanxi,1222,18373.61,92.35,2101.1
Shaanxi,1357.06,19392.24,98.22,1823.86
Shaanxi,1494.75,20065.4,103.16,1853.57
Shaanxi,1594.17,19395.89,105.52,1864.17
Shaanxi,1912.34,21548.81,122.86,1837.74
Shanghai,559.45,4496.08,2.54,1309.7
Shanghai,592.99,4610,3.3,1355.03
Shanghai,645.71,4737,4.33,1424.91
Shanghai,745.97,5017.5,4.97,1737.52
Shanghai,821.44,5144.32,10.69,1842.29
Shanghai,921.97,5324.52,18.72,1967
Shanghai,990.15,5143.09,25.25,1832.84
Shanghai,1072.38,5259.53,27.78,1719.57
Shanghai,1138.22,5464,30,1951.55
Shanghai,1153.38,5305,33.52,1937.18
Shanghai,1295.87,5875.52,45.01,2126.5
Shanghai,1340,6142,55.43,2134.69
Shanghai,1353.45,5703,64.38,2210.55
Shanghai,1410.6,5681.19,72.89,2611.76
Shanghai,1369.03,4895.78,72.43,2242.07
Shanghai,1406,4728.13,77.41,2526.11
Shanghai,1486.02,4625.62,79.04,2474.23
Shanghai,1526.77,4577.84,83.23,2492.77
Shanghai,1566.66,4420.62,93.49,2309.12
Shanghai,1568.58,4238.28,99.4,2597.22
Sichuan,521.23,4861.98,58.67,38.89
Sichuan,586.48,4650,63.07,55.8
Sichuan,670.76,5462,69.96,57.78
Sichuan,758.79,7254.1,74.68,75.67
Sichuan,857.02,8188.68,80.64,114.99
Sichuan,942.59,7791.93,89.52,140.81
Sichuan,1059.44,8532.71,106.08,174.94
Sichuan,1177.5,9450.11,112.15,239.95
Sichuan,1213.29,10727,108.94,285.49
Sichuan,1361.87,12147,126.99,315.68
Sichuan,1549.03,11520.4,175.26,351.76
Sichuan,1963,11454,156.08,361.75
Sichuan,2009.6,11872,153,351.47
Sichuan,1948.95,11678.55,148.3,306.49
Sichuan,2014.79,11045.39,165.17,865.4
Sichuan,1992,8824.34,196.92,989.56
Sichuan,2101.02,8467.99,202.69,902.77
Sichuan,2205.18,7815.38,216.26,956.37
Sichuan,2459.49,7495.78,237,719.82
Sichuan,2635.83,7713.47,254.38,1010.17
Tianjin,234.05,2472.71,5.4,709.76
Tianjin,250.47,2635,7.89,749.35
Tianjin,281,2929,6.48,675.58
Tianjin,313,3205.34,7.26,750.95
Tianjin,350.97,3508.57,8.55,786.57
Tianjin,384.84,3801.45,9.04,863.14
Tianjin,445.73,3809.31,11.22,900.49
Tianjin,510.68,3926.7,14.27,950.14
Tianjin,535.26,3973,16.84,790.33
Tianjin,576.92,4120,18.12,844.64
Tianjin,645.74,4806.79,22.93,1566.79
Tianjin,727,5262,26.02,1754.02
Tianjin,767.13,5298,32.58,1544.62
Tianjin,774.49,5278.67,37.79,1759.15
Tianjin,794.36,5027.28,45.49,1603.17
Tianjin,801,4538.83,63.98,1616.72
Tianjin,807.93,4230.16,74.53,1433.6
Tianjin,805.59,3875.61,83.31,1624.85
Tianjin,861.44,3832.89,104.03,1688.23
Tianjin,878.43,3766.11,110.61,1693.35
Xinjiang,182.98,2702.4,23.44,1071.29
Xinjiang,197.62,2734,34.64,1076.34
Xinjiang,212.24,2898,34.57,1128.01
Xinjiang,234.62,3184.06,40.55,1189.14
Xinjiang,265.9,3631.79,54.01,1314.13
Xinjiang,310.14,3859.91,56.46,1628.77
Xinjiang,356.15,4436.21,65.04,1813.64
Xinjiang,416.87,4943.69,69.81,1873.37
Xinjiang,479.37,5709,69.84,1940.53
Xinjiang,547.88,7418,67.93,1997.9
Xinjiang,661.96,8106.35,80.15,2308.44
Xinjiang,839,9745,95.02,2598.46
Xinjiang,1151.5,12028,101.95,2594.85
Xinjiang,1539.75,14205.5,127.41,2560.76
Xinjiang,1900.24,16088.03,169.87,2693.05
Xinjiang,2160,18119.78,136.82,2489.49
Xinjiang,2316.46,19245.92,130.64,2452.8
Xinjiang,2542.85,20437.23,122.49,2532
Xinjiang,2686.48,21790.02,130.85,2404.54
Xinjiang,2867.55,23702.13,131.09,2376.51
Yunnan,273.58,3062.04,5.17,
Yunnan,347.07,3101,5.29,
Yunnan,393.46,3556,5.14,
Yunnan,409.79,4613.54,5.6,
Yunnan,475.19,5688.54,5.76,
Yunnan,557.25,6681.53,6.12,
Yunnan,645.62,7482,5.45,
Yunnan,745.52,7620.45,5.49,
Yunnan,829.44,7916,5.28,
Yunnan,891.19,8886,4.52,
Yunnan,1004.07,9349.4,3.64,
Yunnan,1204,9664,4.2,
Yunnan,1313.62,9850,4.3,
Yunnan,1459.81,9783.09,4.27,
Yunnan,1529.38,8674.67,4.63,
Yunnan,1439,7756.37,6.34,
Yunnan,1410.52,7481.48,7.71,
Yunnan,1538.1,7396.26,9.69,
Yunnan,1679.08,7402.33,13,
Yunnan,1812.26,7532.73,16.47,1086.58
Zhejiang,738.05,5384.82,,1112.48
Zhejiang,855.29,5527,,1123.85
Zhejiang,1015.84,6595,,1241.04
Zhejiang,1240.35,7266.69,,1425.16
Zhejiang,1419.53,8361.83,0.32,1853.44
Zhejiang,1642.31,9680.8,2.25,2113.04
Zhejiang,1909.23,11334.43,11.89,2114.73
Zhejiang,2189.33,13024.12,18.09,2248.73
Zhejiang,2322.87,13041,17.7,2287.35
Zhejiang,2471.44,13276,19.3,2505.8
Zhejiang,2820.93,13949.86,31.81,2835.41
Zhejiang,3117,14776,43.88,2939.77
Zhejiang,3210.55,14374,48.08,2732.59
Zhejiang,3453.05,14161.26,56.72,2853.65
Zhejiang,3506.39,13824.37,78.16,2731.81
Zhejiang,3554,13826.07,80.35,2846.84
Zhejiang,3873.19,13948.49,87.79,2667.35
Zhejiang,4192.63,14262.04,104.93,3038.65
Zhejiang,4532.82,14180.08,134.91,2769.88
Zhejiang,4706.22,13676.9,147.2,3472.3
Chongqing,307.61,2942.05,33.26,0.19
Chongqing,280.34,2736,26.56,0.25
Chongqing,283.51,3053,27.33,0.27
Chongqing,294.19,2646.13,28.75,0.48
Chongqing,309.06,2904.38,30.34,2.86
Chongqing,347.68,3335.2,35.5,3.17
Chongqing,405.19,3734.6,40.05,0.13
Chongqing,449.21,4078.69,43.53,0.02
Chongqing,485.92,5273,48.75,0.01
Chongqing,532.34,5782,49.47,
Chongqing,626.44,6396.9,56.42,
Chongqing,717,7189,61.8,
Chongqing,723.03,6750,70.98,
Chongqing,813.26,5794.47,72.19,
Chongqing,867.24,6095.78,82.15,
Chongqing,875,5047.19,88.37,
Chongqing,924.89,4854.37,89.32,
Chongqing,996.55,5290.31,95.24,
Chongqing,1118.79,5129.52,99.5,
Chongqing,1160.27,5022.94,103.51,
